"Freq [GHz]","mag(Z(Port1,Port1)) [kOhm]"
3.024,0.0789472802477697
3.033,0.0792220311570871
3.042,0.0794970227838949
3.051,0.0797722493630745
3.06,0.0800477052692064
3.069,0.0803233849679898
3.078,0.0805992830738733
3.087,0.0808753943083069
3.096,0.0811517135214918
3.105,0.0814282356434579
3.114,0.0817049557432355
3.123,0.0819818689864453
3.132,0.0822589706574929
3.141,0.0825362561103027
3.15,0.0828137208289951
3.159,0.0830913603847983
3.168,0.0833691704586514
3.177,0.0836471467915908
3.186,0.0839252852469062
3.195,0.0842035817663553
3.204,0.0844820323931414
3.213,0.0847606332219548
3.222,0.0850393804613734
3.231,0.0853182704056781
3.24,0.0855972993946655
3.249,0.0858764638783273
3.258,0.086155760371805
3.267,0.0864351854789427
3.276,0.0867147358417329
3.285,0.0869944082064001
3.294,0.0872741993776201
3.303,0.0875541062423675
3.312,0.0878341257190189
3.321,0.0881142548248193
3.33,0.0883944906293547
3.339,0.0886748302786662
3.348,0.0889552709440167
3.357,0.0892358098907165
3.366,0.0895164444308408
3.375,0.0897971719475846
3.384,0.0900779898436965
3.393,0.0903588956116469
3.402,0.0906398867855765
3.411,0.0909209609658734
3.42,0.0912021157672764
3.429,0.0914833488903672
3.438,0.0917646580727444
3.447,0.092046041113797
3.456,0.0923274958224862
3.465,0.0926090200901431
3.474,0.092890611840861
3.483,0.0931722690564454
3.492,0.0934539897238788
3.501,0.0937357719094107
3.51,0.0940176137081586
3.519,0.094299513269218
3.528,0.0945814687428145
3.537,0.0948634783556729
3.546,0.0951455403598214
3.555,0.0954276530578414
3.564,0.0957098147497154
3.573,0.0959920238094614
3.582,0.0962742786331344
3.591,0.0965565776641998
3.6,0.0968389193400835
